dateday,season,month,weekday,workingday,holidays,cnt,duration_min,duration_hr
2023-07-23,2,7,6,0,0,11941,233630.73333333334,3893.8455555555556
2023-07-24,2,7,0,1,0,11477,183967.63333333333,3066.1272222222224
2023-07-25,2,7,1,1,0,11774,178021.25,2967.0208333333335
2023-07-26,2,7,2,1,0,12776,188513.41666666666,3141.8902777777776
2023-07-27,2,7,3,1,0,11602,167159.1,2785.985
2023-07-28,2,7,4,1,0,10229,148470.9,2474.515
2023-07-29,2,7,5,0,0,10714,196820.53333333333,3280.342222222222
2023-07-30,2,7,6,0,0,12066,235661.31666666668,3927.688611111111
2023-07-31,2,7,0,1,0,11469,184599.68333333332,3076.6613888888887
2023-08-01,2,8,1,1,0,13127,200087.73333333334,3334.7955555555554
2023-08-02,2,8,2,1,0,13290,205377.86666666667,3422.9644444444443
2023-08-03,2,8,3,1,0,10537,157997.33333333334,2633.2888888888892
2023-08-04,2,8,4,1,0,12303,217468.0,3624.4666666666667
2023-08-05,2,8,5,0,0,13435,258406.58333333334,4306.776388888889
2023-08-06,2,8,6,0,0,10014,181439.95,3023.999166666667
2023-08-07,2,8,0,1,0,7951,120494.41666666667,2008.240277777778
2023-08-08,2,8,1,1,0,13055,202526.11666666667,3375.4352777777776
2023-08-09,2,8,2,1,0,12137,194697.03333333333,3244.9505555555556
2023-08-10,2,8,3,1,0,11019,160756.28333333333,2679.271388888889
2023-08-11,2,8,4,1,0,12275,199789.86666666667,3329.831111111111
2023-08-12,2,8,5,0,0,12376,240209.71666666667,4003.495277777778
2023-08-13,2,8,6,0,0,10921,199053.83333333334,3317.563888888889
2023-08-14,2,8,0,1,0,8889,128533.98333333334,2142.2330555555554
2023-08-15,2,8,1,1,0,11197,162758.63333333333,2712.643888888889
2023-08-16,2,8,2,1,0,12926,221543.68333333332,3692.394722222222
2023-08-17,2,8,3,1,0,12493,198715.05,3311.9175
2023-08-18,2,8,4,1,0,12488,205678.18333333332,3427.969722222222
2023-08-19,2,8,5,0,0,13875,276582.11666666664,4609.701944444444
2023-08-20,2,8,6,0,0,11594,235940.25,3932.3375
2023-08-21,2,8,0,1,0,10944,189173.08333333334,3152.8847222222225
2023-08-22,2,8,1,1,0,12816,189599.8,3159.9966666666664
2023-08-23,2,8,2,1,0,13274,200203.7,3336.7283333333335
2023-08-24,2,8,3,1,0,12411,188833.83333333334,3147.230555555556
2023-08-25,2,8,4,1,0,10935,160006.41666666666,2666.7736111111108
2023-08-26,2,8,5,0,0,13080,250673.91666666666,4177.898611111111
2023-08-27,2,8,6,0,0,11860,226521.41666666666,3775.3569444444443
2023-08-28,2,8,0,1,0,10608,148297.93333333332,2471.632222222222
2023-08-29,2,8,1,1,0,12364,174464.76666666666,2907.746111111111
2023-08-30,2,8,2,1,0,13549,195469.4,3257.8233333333333
