dateday,hour,season,month,weekday,workingday,holidays,cnt,duration_min,duration_hr
2023-03-15,14,1,3,2,1,0,287,3968.3,66.13833333333334
2023-03-15,15,1,3,2,1,0,336,6447.1,107.45166666666667
2023-03-15,16,1,3,2,1,0,525,7131.05,118.85083333333334
2023-03-15,17,1,3,2,1,0,785,13040.466666666667,217.34111111111113
2023-03-15,18,1,3,2,1,0,675,8136.216666666666,135.6036111111111
2023-03-15,19,1,3,2,1,0,428,4792.916666666667,79.88194444444444
2023-03-15,20,1,3,2,1,0,296,3254.7666666666664,54.246111111111105
2023-03-15,21,1,3,2,1,0,222,3318.2166666666667,55.30361111111111
2023-03-15,22,1,3,2,1,0,183,1834.75,30.579166666666666
2023-03-15,23,1,3,2,1,0,80,1511.7666666666667,25.19611111111111
2023-03-16,0,1,3,3,1,0,31,288.23333333333335,4.803888888888889
2023-03-16,1,1,3,3,1,0,12,157.98333333333335,2.633055555555556
2023-03-16,2,1,3,3,1,0,2,9.833333333333332,0.16388888888888886
2023-03-16,3,1,3,3,1,0,4,47.5,0.7916666666666666
2023-03-16,4,1,3,3,1,0,8,80.98333333333333,1.3497222222222223
2023-03-16,5,1,3,3,1,0,67,590.2333333333333,9.837222222222222
2023-03-16,6,1,3,3,1,0,159,1916.8666666666666,31.947777777777777
2023-03-16,7,1,3,3,1,0,367,3657.75,60.9625
2023-03-16,8,1,3,3,1,0,659,8328.6,138.81
2023-03-16,9,1,3,3,1,0,451,6304.016666666666,105.06694444444445
2023-03-16,10,1,3,3,1,0,295,6749.333333333333,112.48888888888888
2023-03-16,11,1,3,3,1,0,315,5141.883333333333,85.69805555555556
2023-03-16,12,1,3,3,1,0,368,6714.6,111.91000000000001
2023-03-16,13,1,3,3,1,0,413,8427.066666666668,140.45111111111112
2023-03-16,14,1,3,3,1,0,396,8034.75,133.9125
2023-03-16,15,1,3,3,1,0,551,10537.2,175.62
2023-03-16,16,1,3,3,1,0,699,13627.283333333333,227.12138888888887
2023-03-16,17,1,3,3,1,0,1132,22607.833333333332,376.7972222222222
2023-03-16,18,1,3,3,1,0,1080,18640.566666666666,310.6761111111111
